2.180000000000000000e+02,2.260000000000000000e+02,0.000000000000000000e+00
2.600000000000000000e+02,3.330000000000000000e+02,9.725184151089042217e+00
4.590000000000000000e+02,2.010000000000000000e+02,1.014679734477069317e+01
4.560000000000000000e+02,2.970000000000000000e+02,1.616245515354632900e+01
2.500000000000000000e+02,4.540000000000000000e+02,1.616843662465710096e+01
2.600000000000000000e+02,4.710000000000000000e+02,1.625276120410839908e+01
2.170000000000000000e+02,4.470000000000000000e+02,1.626624273133089460e+01
2.730000000000000000e+02,4.180000000000000000e+02,1.691378407005544560e+01
4.340000000000000000e+02,3.330000000000000000e+02,1.819943897317525838e+01
1.490000000000000000e+02,4.650000000000000000e+02,1.858894609410428345e+01
